발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유
02969,롯데캐피탈(주),KR6029691A71,B029691A7,할부금융채권 (116250),,상장,활성,2020-07-17,,롯데캐피탈 396-1,LOTTE CAPITAL 396-1,회사채,,"80,000,000,000",2020-07-16,원화,2022-07-15,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.56,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-10-16,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.560 Bd 20220715 Sr,,
02969,롯데캐피탈(주),KR6029692A47,B029692A4,할부금융채권 (116250),,상장,활성,2020-05-04,,롯데캐피탈 392,LOTTE CAPITAL 392,회사채,,"100,000,000,000",2020-04-29,원화,2021-04-29,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.808,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-07-29,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한화투자증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.808 Bd 20210429 Sr,,
02969,롯데캐피탈(주),KR6029692A54,B029692A5,할부금융채권 (116250),,상장,활성,2020-05-12,,롯데캐피탈 393-2,LOTTE CAPITAL 393-2,회사채,,"40,000,000,000",2020-05-11,원화,2021-06-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.758,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한양증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.758 Bd 20210611 Sr,,
02969,롯데캐피탈(주),KR6029692A62,B029692A6,할부금융채권 (116250),,상장,활성,2020-06-22,,롯데캐피탈 395-2,LOTTE CAPITAL 395-2,회사채,,"40,000,000,000",2020-06-19,원화,2022-06-17,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.597,,100,100,마지막 이자만 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.597 Bd 20220617 Sr,,
02969,롯데캐피탈(주),KR6029692A70,B029692A7,할부금융채권 (116250),,상장,활성,2020-07-17,,롯데캐피탈 396-2,LOTTE CAPITAL 396-2,회사채,,"10,000,000,000",2020-07-16,원화,2023-01-16,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.616,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-10-16,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.616 Bd 20230116 Sr,,
02969,롯데캐피탈(주),KR6029693A53,B029693A5,할부금융채권 (116250),,상장,활성,2020-05-12,,롯데캐피탈 393-3,LOTTE CAPITAL 393-3,회사채,,"30,000,000,000",2020-05-11,원화,2021-11-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.783,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한양증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.783 Bd 20211111 Sr,,
02969,롯데캐피탈(주),KR6029693A61,B029693A6,할부금융채권 (116250),,상장,활성,2020-06-22,,롯데캐피탈 395-3,LOTTE CAPITAL 395-3,회사채,,"80,000,000,000",2020-06-19,원화,2023-06-19,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.689,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-19,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.689 Bd 20230619 Sr,,
02969,롯데캐피탈(주),KR6029693A79,B029693A7,할부금융채권 (116250),,상장,활성,2020-07-17,,롯데캐피탈 396-3,LOTTE CAPITAL 396-3,회사채,,"10,000,000,000",2020-07-16,원화,2023-07-14,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.68,,100,100,마지막이자 365일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-10-16,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,KB증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.680 Bd 20230714 Sr,,
02969,롯데캐피탈(주),KR6029694A52,B029694A5,할부금융채권 (116250),,상장,활성,2020-05-12,,롯데캐피탈 393-4,LOTTE CAPITAL 393-4,회사채,,"10,000,000,000",2020-05-11,원화,2022-01-11,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.794,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-11,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한양증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.794 Bd 20220111 Sr,,
02969,롯데캐피탈(주),KR6029694A78,B029694A7,할부금융채권 (116250),,상장,활성,2020-07-30,,롯데캐피탈 398-1,LOTTE CAPITAL 398-1,회사채,,"50,000,000,000",2020-07-29,원화,2022-01-26,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.338,,100,100,마지막이자 365 일할계산,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-10-29,비매출,,,무기명,,,,,한국예탁결제원,(주)부산은행,한양증권(주),,NICE신용평가," ",,한국기업평가,,DBFNFB,LOTTE CAPITAL/1.338 Bd 20220126 Sr,,
