index,발행기관코드,발행기관명,표준코드,단축코드,채권분류,변경전 발행기관코드,상장여부,활성여부,상장일,상장폐지일,한글종목명,영문종목명,채권유형,지방채구분,발행금액,발행일,발행통화,상환일,특이채권유형,보증담보,보증률(%),이자지급방법,발행방법,발행구분,크라우드펀딩여부,표면이자율 확정여부,표면이자율(%),낙찰금리(%),발행가액(%),만기상환율(%),특이발행조건,옵션,선/후/중순위,상환방법,물가연동구분,참조지수(%),신종자본증권여부,조건부자본증권 유형,유동화,휴무관련(원금),이자지급기준,경과금리(%),휴무관련(이자),이자 선/후급,이자지급주기(개월),이자지급기준일구분,이자계산주기(개월),이자원단위 미만처리,이자월말구분,단수일이자기준,최초이자지급일,매출형태,선매출이자 지급방법,선/후매출일,기명구분,보장수익률(%),보장수익률적용일,추가수익률(%),추가수익률적용일,(전자)등록기관,원리금지급대행기관,대표주관회사,보증기관,신용평가기관1,신용등급,신용평가기관2,신용평가기관3,신용평가기관4,CFI,FISN,Call 주체,Call 사유,identifier1,identifier2,bookrunners,bkr_parts,comanagers,cmgr_parts
11,827,산은캐피탈(주),KR6008275A53,B008275A5,리스채권 (116230),,상장,활성,2020-05-11,,산은캐피탈 644-5,KDB CAPITAL CORPORATION 644-5,회사채,,"10,000,000,000",2020-05-08,원화,2022-05-06,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.775,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-08,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.775 Bd 20220506 Sr,,,644-5,-5,['디에스투자증권'],"['20,000,000,000']",[],[]
13,827,산은캐피탈(주),KR6008276A52,B008276A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-1,KDB CAPITAL CORPORATION 645-1,회사채,,"10,000,000,000",2020-05-12,원화,2021-11-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.724,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.724 Bd 20211112 Sr,,,645-1,-1,['이베스트투자증권'],"['10,000,000,000']",[],[]
15,827,산은캐피탈(주),KR6008277A51,B008277A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-2,KDB CAPITAL CORPORATION 645-2,회사채,,"10,000,000,000",2020-05-12,원화,2022-04-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.7369999999999999,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.737 Bd 20220412 Sr,,,645-2,-2,['케이프투자증권'],"['10,000,000,000']",[],[]
16,827,산은캐피탈(주),KR6008278A50,B008278A5,리스채권 (116230),,상장,활성,2020-05-13,,산은캐피탈 645-3,KDB CAPITAL CORPORATION 645-3,회사채,,"30,000,000,000",2020-05-12,원화,2022-05-12,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.74,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-12,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,SK증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.740 Bd 20220512 Sr,,,645-3,-3,['SK증권'],"['10,000,000,000']",['이베스트투자증권'],"['20,000,000,000']"
17,827,산은캐피탈(주),KR6008279A59,B008279A5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-1,KDB CAPITAL CORPORATION 646-1,회사채,,"30,000,000,000",2020-05-22,원화,2021-11-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.6159999999999999,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.616 Bd 20211122 Sr,,,646-1,-1,['미래에셋대우'],"['30,000,000,000']",[],[]
18,827,산은캐피탈(주),KR600827AA58,B00827AA5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-2,KDB CAPITAL CORPORATION 646-2,회사채,,"10,000,000,000",2020-05-22,원화,2022-12-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.685,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.685 Bd 20221222 Sr,,,646-2,-2,['흥국증권'],"['10,000,000,000']",[],[]
19,827,산은캐피탈(주),KR600827BA57,B00827BA5,리스채권 (116230),,상장,활성,2020-05-25,,산은캐피탈 646-3,KDB CAPITAL CORPORATION 646-3,회사채,,"10,000,000,000",2020-05-22,원화,2025-05-22,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.804,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-08-22,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,미래에셋대우(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.804 Bd 20250522 Sr,,,646-3,-3,['이베스트투자증권'],"['10,000,000,000']",[],[]
2,827,산은캐피탈(주),KR6008272A64,B008272A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-2,KDB CAPITAL CORPORATION 647-2,회사채,,"80,000,000,000",2020-06-09,원화,2023-06-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.651,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.651 Bd 20230609 Sr,,,647-2,-2,['NH투자증권'],"['10,000,000,000']",[],[]
6,827,산은캐피탈(주),KR6008273A63,B008273A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-3,KDB CAPITAL CORPORATION 647-3,회사채,,"10,000,000,000",2020-06-09,원화,2023-08-09,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.671,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.671 Bd 20230809 Sr,,,647-3,-3,['NH투자증권'],"['10,000,000,000']","['하이투자증권', '케이아이디비채권중개', '한국투자증권', '미래에셋대우', '흥국증권', '한화투자증권']","['20,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000', '10,000,000,000']"
9,827,산은캐피탈(주),KR6008274A62,B008274A6,리스채권 (116230),,상장,활성,2020-06-10,,산은캐피탈 647-4,KDB CAPITAL CORPORATION 647-4,회사채,,"10,000,000,000",2020-06-09,원화,2024-06-07,일반채권,무보증,,고정금리형-이표채,공모-간접발행,국내발행,NO,확정,1.714,,100,100,,,선순위,만기상환,NO,,NO,,,직후영업일(경과이자없음),,,직후영업일(경과이자없음),후급,3,발행일,3,절사,일자기준,365일,2020-09-09,비매출,,,무기명,,,,,한국예탁결제원,한국산업은행,엔에이치투자증권(주),,NICE신용평가, ,한국신용평가,한국기업평가,,DBFNFB,KDB CAPITAL/1.714 Bd 20240607 Sr,,,647-4,-4,['한국투자증권'],"['10,000,000,000']",[],[]
