isin,tranches in same deal,parse_notes,deal_num
KR602988FA88,KR602988DA80,[],2392130
KR602988GA87,KR602988DA80,[],2392130
KR6029881A97,KR6029881A97,[],2392121
KR6029882A96,KR6029882A96,[],2392123
KR6029883A95,KR6029882A96,[],2392123
KR6029884A94,KR6029884A94,[],2392124
KR6029885A93,KR6029884A94,[],2392124
KR6029886A92,KR6029884A94,[],2392124
KR6029887A91,KR6029887A91,[],2392127
KR6029888A90,KR6029887A91,[],2392127
KR6029889A99,KR6029887A91,[],2392127
KR602988AA91,KR6029887A91,[],2392127
KR602988BA90,KR6029887A91,[],2392127
KR6029881AA0,KR6029881AA0,[],2392122
KR6029882AA8,KR6029881AA0,[],2392122
KR6029883AA6,KR6029881AA0,[],2392122
KR6029884AA4,KR6029881AA0,[],2392122
KR6029885AA1,KR6029881AA0,[],2392122
KR6029886AA9,KR6029886AA9,[],2392126
KR6029887AA7,KR6029886AA9,[],2392126
KR6029888AA5,KR6029886AA9,[],2392126
KR6029889AA3,KR6029889AA3,[],2392129
KR602988AAA6,KR6029889AA3,[],2392129
KR602988BAA4,KR6029889AA3,[],2392129
KR602988CAA2,KR6029889AA3,[],2392129
KR6095921A82,KR6095921A82,['no original book runner info'],2392144
KR6095922A81,KR6095921A82,['no original book runner info'],2392144
KR6095923A80,KR6095921A82,['no original book runner info'],2392144
KR6095921A90,KR6095921A90,[],2392145
KR6095922A99,KR6095922A99,[],2392146
KR6095923A98,KR6095922A99,[],2392146
KR6095924A97,KR6095924A97,[],2392147
KR6095921AA3,KR6095921AA3,['cannot find syndicate bank id 카카오페이증권'],0
KR6095922AA1,KR6095921AA3,['cannot find syndicate bank id 카카오페이증권'],0
KR6046291A95,KR6046291A95,[],2392132
KR6046291AA1,KR6046291AA1,['no original book runner info'],2392133
KR6046292AA9,KR6046291AA1,['no original book runner info'],2392133
KR6046293AA7,KR6046293AA7,[],2392134
KR6000011A91,KR6000011A91,[],2392159
KR6000012A90,KR6000011A91,[],2392159
KR6174141AA2,KR6174141AA2,[],2392168
KR6174142AA0,KR6174141AA2,[],2392168
KR6174143AA8,KR6174141AA2,[],2392168
KR6174144AA6,KR6174141AA2,[],2392168
KR6169375AA3,KR6169375AA3,[],2392167
KR6169376AA1,KR6169375AA3,[],2392167
KR6169377AA9,KR6169375AA3,[],2392167
KR6169378AA7,KR6169375AA3,[],2392167
KR6029789A90,KR6029789A90,[],2392161
KR602978AA93,KR6029789A90,[],2392161
KR602978BA92,KR6029789A90,[],2392161
KR602978CA91,KR6029789A90,[],2392161
KR6032718A82,KR6032718A82,[],2392165
KR6032719A81,KR6032718A82,[],2392165
KR6032712A96,KR6032712A96,[],2392164
KR6032713A95,KR6032712A96,[],2392164
KR6032714A94,KR6032712A96,[],2392164
KR6032715A93,KR6032712A96,[],2392164
KR6032711AA4,KR6032711AA4,[],2392163
KR6032712AA2,KR6032711AA4,[],2392163
KR6032713AA0,KR6032711AA4,[],2392163
KR6032714AA8,KR6032711AA4,[],2392163
KR6023762A86,KR6023762A86,[],2392160
KR6023763A85,KR6023762A86,[],2392160
KR6023764A84,KR6023762A86,[],2392160
KR6065901A89,KR6065901A89,[],2392166
KR6065902A88,KR6065901A89,[],2392166
KR6065903A87,KR6065901A89,[],2392166
KR6065904A86,KR6065901A89,[],2392166
KR6065905A85,KR6065901A89,[],2392166
KR6029881A89,KR6029881A89,[],2392162
KR6029882A88,KR6029881A89,[],2392162
KR6029883A87,KR6029881A89,[],2392162
KR6029884A86,KR6029881A89,[],2392162
KR6008561A98,KR6008561A98,[],2392174
