isin,tranches in same deal,parse_notes,deal_num
KR6007071A93,KR6007071A93,[],2391937
KR6066361A98,KR6066361A98,['no original book runner info'],2391949
KR614017DA72,KR614017DA72,[],2391960
KR614017EA71,KR614017DA72,[],2391960
KR6140171A83,KR6140171A83,[],2391957
KR6140172A82,KR6140171A83,[],2391957
KR6140171A91,KR6140171A91,[],2391958
KR6140172A90,KR6140171A91,[],2391958
KR6140173A99,KR6140171A91,[],2391958
KR6140174A98,KR6140171A91,[],2391958
KR6140175A97,KR6140175A97,[],2391959
KR6140176A96,KR6140175A97,[],2391959
KR6140177A95,KR6140175A97,[],2391959
KR6140178A94,KR6140175A97,[],2391959
KR6140179A93,KR6140175A97,[],2391959
KR614017AA91,KR614017AA91,[],2392023
KR6140171AA0,KR6140171AA0,[],2392022
KR6140172AA8,KR6140171AA0,[],2392022
KR6140173AA6,KR6140171AA0,[],2392022
KR6123271AA9,KR6123271AA9,[],2392021
KR6004871AA0,KR6004871AA0,['no original book runner info'],2392021
KR6034231AA1,KR6034231AA1,[],2392010
KR6086791A88,KR6086791A88,[],2392018
KR6086792A87,KR6086791A88,[],2392018
KR6004942A89,KR6004942A89,['no original book runner info'],2391987
KR6000111AA5,KR6000111AA5,['no original book runner info'],2391982
KR6066561A88,KR6066561A88,[],2392013
KR6066562A87,KR6066561A88,[],2392013
KR6066563A86,KR6066561A88,[],2392013
KR6079312A91,KR6079312A91,['no original book runner info'],2392015
KR6079313A90,KR6079312A91,['no original book runner info'],2392015
KR6079314A99,KR6079312A91,['no original book runner info'],2392015
KR6079315A98,KR6079315A98,['no original book runner info'],2392016
KR6079316A97,KR6079315A98,['no original book runner info'],2392016
KR6079317A96,KR6079315A98,['no original book runner info'],2392016
KR6079318A95,KR6079315A98,['no original book runner info'],2392016
KR6079319A94,KR6079315A98,['no original book runner info'],2392016
KR607931AA98,KR6079315A98,['no original book runner info'],2392016
KR6079311AA7,KR6079311AA7,['no original book runner info'],2392014
KR6079312AA5,KR6079311AA7,['no original book runner info'],2392014
KR6079313AA3,KR6079311AA7,['no original book runner info'],2392014
KR6166261A89,KR6166261A89,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info']",0
KR6166262A88,KR6166261A89,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info']",0
KR6166261AA8,KR6166261AA8,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info']",0
KR6166262AA6,KR6166261AA8,"['cannot find issuer comanpy id NH농협금융지주', 'no original book runner info']",0
KR6010951A84,KR6010951A84,[],2391992
KR6010952A83,KR6010951A84,[],2391992
KR6010953A82,KR6010951A84,[],2391992
KR6034731A99,KR6034731A99,['no original book runner info'],2392011
KR6034732A98,KR6034731A99,['no original book runner info'],2392011
KR6034733A97,KR6034731A99,['no original book runner info'],2392011
KR6096771A99,KR6096771A99,[],2392020
KR6096772A98,KR6096771A99,[],2392020
KR6096773A97,KR6096771A99,[],2392020
KR6017671AA9,KR6017671AA9,[],2391993
KR6017672AA7,KR6017671AA9,[],2391993
KR6017673AA5,KR6017671AA9,[],2391993
KR6210521AA1,KR6210521AA1,"['cannot find issuer comanpy id 나래에너지서비스', 'no original book runner info']",2391993
KR6002351AA5,KR6002351AA5,[],2391984
