isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6006801A27,KR6006801A27,2394787,['no original book runner info'],
KR6082971A14,KR6082971A14,2394788,[],
KR6082972A13,KR6082971A14,2394788,[],
KR6082971A22,KR6082971A22,2394789,[],
KR6082972A21,KR6082971A22,2394789,[],
KR6082971A30,KR6082971A30,2394790,[],
KR6082972A39,KR6082971A30,2394790,[],
KR6082973A38,KR6082971A30,2394790,[],
KR6145761A13,KR6145761A13,2394792,[],
KR6145762A12,KR6145761A13,2394792,[],
KR6145763A11,KR6145761A13,2394792,[],
KR6145764A10,KR6145764A10,2394793,[],
KR6145765A19,KR6145764A10,2394793,[],
KR6145766A18,KR6145764A10,2394793,[],
KR6145767A17,KR6145764A10,2394793,[],
KR6145768A16,KR6145768A16,2394794,[],
KR6145769A15,KR6145768A16,2394794,[],
KR614576AA11,KR6145768A16,2394794,[],
KR614576BA10,KR6145768A16,2394794,[],
KR614576CA19,KR614576CA19,2394795,[],
KR614576DA18,KR614576CA19,2394795,[],
KR6145761A21,KR6145761A21,2394796,[],
KR6145762A20,KR6145761A21,2394796,[],
KR6145763A29,KR6145761A21,2394796,[],
KR6145764A28,KR6145761A21,2394796,[],
KR6145765A27,KR6145765A27,2394797,[],
KR6145766A26,KR6145765A27,2394797,[],
KR6145767A25,KR6145765A27,2394797,[],
KR6145768A24,KR6145765A27,2394797,[],
KR6145769A23,KR6145769A23,2394798,[],
KR614576AA29,KR6145769A23,2394798,[],
KR614576BA28,KR6145769A23,2394798,[],
KR614576CA27,KR6145769A23,2394798,[],
KR6145761A39,KR6145761A39,2394799,[],
KR6145762A38,KR6145761A39,2394799,[],
KR6145763A37,KR6145761A39,2394799,[],
KR6145764A36,KR6145764A36,2394800,[],
KR6145765A35,KR6145764A36,2394800,[],
KR6145766A34,KR6145764A36,2394800,[],
KR6145767A33,KR6145764A36,2394800,[],
KR6145761A47,KR6145761A47,2394801,[],
KR6145762A46,KR6145762A46,2394802,[],
KR6008271A16,KR6008271A16,2394803,[],
KR6008272A15,KR6008271A16,2394803,[],
KR6008273A14,KR6008271A16,2394803,[],
KR6008271A24,KR6008271A24,2394804,[],
KR6008272A23,KR6008271A24,2394804,[],
KR6008273A22,KR6008271A24,2394804,[],
KR6008274A21,KR6008274A21,2394805,[],
KR6008275A20,KR6008274A21,2394805,[],
KR6008271A32,KR6008271A32,2394806,[],
KR6008272A31,KR6008271A32,2394806,[],
KR6008273A30,KR6008271A32,2394806,[],
KR6008274A39,KR6008271A32,2394806,[],
KR6008275A38,KR6008275A38,2394807,[],
KR6008276A37,KR6008275A38,2394807,[],
KR6008271A40,KR6008271A40,2394808,[],
KR6008272A49,KR6008271A40,2394808,[],
KR6016361A28,KR6016361A28,2394809,"['no original book runner info', 'no original book runner info']",
KR6016362A27,KR6016361A28,2394809,"['no original book runner info', 'no original book runner info']",
KR6029781A15,KR6029781A15,2394810,[],
KR6029782A14,KR6029781A15,2394810,[],
KR6029783A13,KR6029781A15,2394810,[],
KR6029781A23,KR6029781A23,2394811,[],
KR6029782A22,KR6029781A23,2394811,[],
KR6029781A31,KR6029781A31,2394812,[],
KR6029782A30,KR6029781A31,2394812,[],
KR6029783A39,KR6029783A39,2394813,[],
KR6029784A38,KR6029783A39,2394813,[],
KR6029785A37,KR6029783A39,2394813,[],
KR6029786A36,KR6029786A36,2394814,[],
