isin,tranches in same deal,deal_number,parse_notes,post_notes
KR60054939A8,KR60054919A0,2395463,[],
KR60251019A0,KR60251019A0,2395464,[],
KR60036719A7,KR60036719A7,2395465,[],
KR60036729A6,KR60036719A7,2395465,[],
KR60867919A7,KR60867919A7,2395466,[],
KR60867929A6,KR60867919A7,2395466,[],
KR60867919C3,KR60867919C3,2395467,[],
KR60867929C2,KR60867919C3,2395467,[],
KR60049419B7,KR60049419B7,2395468,['no original book runner info'],
KR60168319B4,KR60168319B4,2395469,[],
KR60665619A7,KR60665619A7,2395470,[],
KR60665629A6,KR60665619A7,2395470,[],
KR60665619B5,KR60665619B5,0,['cannot find syndicate bank id 다이와증권캐피탈마켓코리아'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[6].Id"":[""Id must be a positive number.""]}}'"
KR60665629B4,KR60665619B5,0,['cannot find syndicate bank id 다이와증권캐피탈마켓코리아'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[1].Syndicate[6].Id"":[""Id must be a positive number.""]}}'"
KR60665619C3,KR60665619C3,2395472,[],
KR60665629C2,KR60665619C3,2395472,[],
KR60050819A6,KR60050819A6,2395473,[],
KR60050829A5,KR60050819A6,2395473,[],
KR60478019A7,KR60478019A7,2395474,[],
KR60478029A6,KR60478019A7,2395474,[],
KR60793119A3,KR60793119A3,2395475,[],
KR60793129A2,KR60793119A3,2395475,[],
KR60793139A1,KR60793119A3,2395475,[],
KR60793119B1,KR60793119B1,2395476,[],
KR60793129B0,KR60793119B1,2395476,[],
KR60793139B9,KR60793119B1,2395476,[],
KR60793149B8,KR60793119B1,2395476,[],
KR60793159B7,KR60793159B7,2395477,[],
KR60793169B6,KR60793159B7,2395477,[],
KR60793179B5,KR60793159B7,2395477,[],
KR60793189B4,KR60793159B7,2395477,[],
KR60793119C9,KR60793119C9,2395479,[],
KR60793129C8,KR60793119C9,2395479,[],
KR60793139C7,KR60793119C9,2395479,[],
KR60793149C6,KR60793149C6,2395480,[],
KR60793159C5,KR60793149C6,2395480,[],
KR60109519B1,KR60109519B1,2395481,[],
KR60109529B0,KR60109519B1,2395481,[],
KR60109539B9,KR60109519B1,2395481,[],
KR60347319B8,KR60347319B8,2395482,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR60347329B7,KR60347319B8,2395482,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR60347339B6,KR60347319B8,2395482,"['no original book runner info', 'no original book runner info', 'no original book runner info']",
KR60176719A7,KR60176719A7,2395668,[],
KR60176729A6,KR60176719A7,2395668,[],
KR60176739A5,KR60176719A7,2395668,[],
KR60176749A4,KR60176719A7,2395668,[],
KR62184029A7,KR62184029A7,2395483,['no original book runner info'],
KR60002119A0,KR60002119A0,2395484,[],
KR60002129A9,KR60002119A0,2395484,[],
KR60426719B3,KR60426719B3,2395485,[],
KR60008219A2,KR60008219A2,2395486,[],
KR60008229A1,KR60008219A2,2395486,[],
KR60898619A6,KR60898619A6,2395487,[],
KR60898629A5,KR60898619A6,2395487,[],
KR60004019C6,KR60004019C6,2395488,[],
KR61980319A0,KR61980319A0,2395489,[],
KR61980319B8,KR61980319B8,2395490,[],
KR60053019A0,KR60053019A0,2395491,[],
KR60053029A9,KR60053019A0,2395491,[],
KR60053039A8,KR60053019A0,2395491,[],
KR60306229A0,KR60306229A0,2395492,[],
KR60306219A1,KR60306229A0,2395492,[],
KR60306239A9,KR60306239A9,2395494,[],
