ISIN,deal_num,notes,post_notes
KR6004991A97,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
KR6004992A96,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'",
KR6004993A95,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""],""deal.Tranches[2].Syndicate[2].Id"":[""Id must be a positive number.""]}}'",
KR6005271A46,2391093.0,,
KR6005271A53,2391094.0,,
KR6005271A79,2391095.0,,
KR6005272A37,2391096.0,,
KR6005272A78,2391097.0,,
KR6005281A51,2391098.0,,
KR6005281A77,2391099.0,,
KR6005281A85,2391100.0,,
KR6005281A93,2391101.0,,
KR6005282A35,2391102.0,,
KR6005282A84,2391103.0,,
KR6005282A92,2391104.0,,
KR6005301A40,2391105.0,,
KR6005302A49,2362767.0,,
KR6005382A59,2391106.0,,
KR6005383A58,2391106.0,,
KR6005941A95,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2101.""],""deal.Tranches[1].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[1].Syndicate.Id\', line 1, position 3478.""],""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6005942A94,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'",
KR6006121A95,2391107.0,,
KR6006122A94,2391107.0,,
KR6006361A60,2391108.0,,
KR6006801A68,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2106.""],""deal.Tranches[1].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[1].Syndicate.Id\', line 1, position 3483.""],""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'"
KR6006801A92,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[0].Syndicate.Id\', line 1, position 2106.""],""deal.Tranches[1].Syndicate.Id"":[""Cannot deserialize the current JSON object (e.g. {\\""name\\"":\\""value\\""}) into type \'System.Collections.Generic.IEnumerable`1[Dealogic.DCMEntryAPI.Service.App.Domain.Common.WriteModels.SyndicateMember]\' because the type requires a JSON array (e.g. [1,2,3]) to deserialize correctly.\\r\\nTo fix this error either change the JSON to a JSON array (e.g. [1,2,3]) or change the deserialized type so that it is a normal .NET type (e.g. not a primitive type like integer, not a collection type like an array or List<T>) that can be deserialized from a JSON object. JsonObjectAttribute can also be added to the type to force it to deserialize from a JSON object.\\r\\nPath \'Tranches[1].Syndicate.Id\', line 1, position 3482.""],""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'"
KR6006802A67,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'",
KR6006802A91,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal"":[""Syndicate on tranche 0 must be specified. Syndicate on tranche 1 must be specified.""]}}'",
KR6007071A93,0.0,"<Response [400]> b'{""Message"":""The request is invalid<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6007161A60,2391109.0,,
KR6007691A69,2391110.0,,
KR6008271A40,2391111.0,,
KR6008271A57,2391112.0,,
KR6008271A65,2391113.0,,
KR6008271A73,2391114.0,,
KR6008271A81,2391115.0,,
KR6008271A99,0.0,"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.Tranches[0].Syndicate[2].Id"":[""Id must be a positive number.""]}}'"
